"Scrip name","Date","Open","High","Low","Close","Adj Close","Volume"
"SBIN",8/12/2002,49.453125,50.624218,49.140625,50.438282,36.077507,37460928
"SBIN",8/13/2002,50.242188,50.765625,50.125,50.452343,36.087563,20659456
"SBIN",8/14/2002,49.995312,50.074219,49.243752,49.366405,35.310822,24419776
"SBIN",8/15/2002,49.366405,49.366405,49.366405,49.366405,35.310822,0
"SBIN",8/16/2002,49.864063,50.391407,49.735935,50.171875,35.886955,22782144
"SBIN",8/19/2002,50.391407,50.682812,50.166405,50.442966,36.08086,23862720
"SBIN",8/20/2002,50.81406,52.629688,50.71875,51.923435,37.139805,35347648
"SBIN",8/21/2002,51.563282,53.203125,51.563282,52.991405,37.903702,44908736
"SBIN",8/22/2002,53.286716,53.625,52.4375,52.676563,37.678501,37726144
"SBIN",8/23/2002,52.894531,55.390625,52.894531,55.203125,39.48571,83209536
"SBIN",8/26/2002,53.109375,54.997658,53.109375,54.508595,38.988914,38972928
"SBIN",8/27/2002,54.380466,55.46875,53.25,53.456249,38.236191,69991616
"SBIN",8/28/2002,53.125,53.875,52.706249,53.544533,38.299358,35725504
"SBIN",8/29/2002,53.1875,55.311718,53.071095,54.492188,38.97718,56262848
"SBIN",8/30/2002,54.640625,56.792187,54.375,56.318748,40.28368,48156160
"SBIN",9/2/2002,56.957813,57.25,55.644531,55.904686,39.987526,35940608
"SBIN",9/3/2002,55.606251,55.625,54.410938,54.604687,39.057655,36863232
"SBIN",9/4/2002,53.887501,54.96875,53.462502,54.732033,39.148743,42330432
"SBIN",9/5/2002,54.692966,56.405468,54.6875,55.964844,40.030548,58222144
"SBIN",9/6/2002,55.34375,55.828125,54.474216,55.191406,39.477333,51598848
"SBIN",9/9/2002,55.434376,56.716408,54.390625,56.283592,40.258545,43699968
"SBIN",9/10/2002,56.283592,56.283592,56.283592,56.283592,40.258545,0
"SBIN",9/11/2002,56.640625,57.932812,56.640625,57.68203,41.258812,45339776
"SBIN",9/12/2002,57.342186,57.578125,56.671875,56.950783,40.735771,26804352
"SBIN",9/13/2002,56.375,56.375,55.56406,55.789063,39.904808,27315648
"SBIN",9/16/2002,55.628124,56.092186,54.859375,55.630466,39.791367,33621952
"SBIN",9/17/2002,55.974216,57.5625,55.974216,57.325001,41.003445,43982464
"SBIN",9/18/2002,56.739063,56.739063,55.578125,55.756248,39.88134,47365760
"SBIN",9/19/2002,55.703125,55.78125,54.422657,54.621876,39.069954,46434112
"SBIN",9/20/2002,53.125,54.984375,53.125,54.785938,39.187302,37551744
"SBIN",9/23/2002,54.84375,55.075001,54.171875,54.429688,38.932476,29428416
"SBIN",9/24/2002,53.514843,53.858593,52.736717,53.196095,38.05011,39022336
"SBIN",9/25/2002,52.03125,54.296875,52.03125,54.192188,38.7626,42394944
"SBIN",9/26/2002,54.65625,55.140625,54.082813,54.353905,38.878265,34179392
"SBIN",9/27/2002,54.486717,55.113281,54.486717,54.821095,39.212452,44959616
"SBIN",9/30/2002,54.248436,54.606251,52.892185,53.22578,38.071342,37461184
"SBIN",10/1/2002,52.9375,53.53125,52.34375,53.232811,38.076378,46234880
"SBIN",10/2/2002,53.232811,53.232811,53.232811,53.232811,38.076378,0
"SBIN",10/3/2002,53.4375,54.3125,53.21875,54.174999,38.750317,40588288
"SBIN",10/4/2002,54.144531,55.027344,53.846874,54.69453,39.121914,40793152
"SBIN",10/7/2002,54.453125,54.60078,53.765625,53.988281,38.616749,26232256
"SBIN",10/8/2002,53.671875,55.75,53.52422,55.432812,39.649994,49633408
"SBIN",10/9/2002,55.883595,56.375,53.988281,54.331249,38.862068,51109952
"SBIN",10/10/2002,54.704685,57.015625,53.962502,56.738281,40.583778,115910336
"SBIN",10/11/2002,56.753124,59.375,56.753124,58.924217,42.14732,70623808
"SBIN",10/14/2002,59.067188,60.578125,58.53281,59.699219,42.701683,72795648
"SBIN",10/15/2002,59.699219,59.699219,59.699219,59.699219,42.701683,0
"SBIN",10/16/2002,60.78125,61.046875,58.28281,58.578907,41.900333,68785472
"SBIN",10/17/2002,58.471874,60.109375,58.15781,59.813282,42.783257,63703872
"SBIN",10/18/2002,60.46875,60.90625,59.581249,59.921875,42.860935,52909376
"SBIN",10/21/2002,60.083591,60.46875,59.205467,59.825783,42.792206,47170176
"SBIN",10/22/2002,60.125,60.375,59.315624,59.542187,42.589352,46875008
"SBIN",10/23/2002,59.083591,59.840626,58.844532,59.349998,42.451878,43332288
"SBIN",10/24/2002,59.825001,59.825001,58.765625,59.110935,42.280899,38613440
"SBIN",10/25/2002,58.950783,59.057812,58.28281,58.662498,41.960117,38481344
"SBIN",10/28/2002,58.753906,59.203125,58.299217,58.553123,41.881897,26654208
"SBIN",10/29/2002,58.201561,59.46875,57.893749,59.28281,42.403828,45538368
"SBIN",10/30/2002,58.984375,59.651562,58.846092,59.179688,42.469986,31792320
"SBIN",10/31/2002,59.375,60.042187,58.828125,59.326561,42.57539,42567680
"SBIN",11/1/2002,59.375,60.859375,59.375,60.445313,43.37825,43334784
"SBIN",11/4/2002,60.859375,61.703125,60.640625,61.342968,44.022461,15291712
"SBIN",11/5/2002,61.953125,63.592186,61.615623,63.261719,45.399433,60623104
"SBIN",11/6/2002,63.261719,63.261719,63.261719,63.261719,45.399433,0
"SBIN",11/7/2002,62.792187,64.276566,62.504688,63.262501,45.399994,86927232
"SBIN",11/8/2002,62.484375,62.78125,61.978127,62.457031,44.821941,35027328
"SBIN",11/11/2002,62.28125,62.40625,61.210938,61.614841,44.21756,36256064
"SBIN",11/12/2002,60.9375,61.697655,60.724998,61.559376,44.17775,33467328
"SBIN",11/13/2002,61.648438,62.34375,61.648438,61.999218,44.493404,39895488
"SBIN",11/14/2002,62.223438,65.078125,62.128124,64.376564,46.199486,57805120
"SBIN",11/15/2002,65.176559,68.359375,65.176559,67.381248,48.355778,74473344
"SBIN",11/18/2002,67.1875,67.1875,65.659378,66.488281,47.714958,59826560
"SBIN",11/19/2002,66.488281,66.488281,66.488281,66.488281,47.714958,0
"SBIN",11/20/2002,66.089066,69.203125,66.019531,68.878906,49.430576,102082368
"SBIN",11/21/2002,70.3125,70.996872,69.453125,70.732033,50.760456,79159296
"SBIN",11/22/2002,71.839066,73.010941,71.487503,72.346878,51.919334,93242560
"SBIN",11/25/2002,71.839066,71.953125,70.970314,71.27578,51.150688,57428288
"SBIN",11/26/2002,70.953125,71.796875,69.84375,70.339066,50.478443,60546688
"SBIN",11/27/2002,70.46875,71.671875,69.3125,69.555466,49.916103,87585664
"SBIN",11/28/2002,70.765625,71.703125,70.352341,71.439064,51.267849,66792192
"SBIN",11/29/2002,71.3125,71.875,70.099998,71.222656,51.112553,41319488
"SBIN",12/2/2002,71.625,72.96875,71.328125,72.597656,52.099316,46553024
"SBIN",12/3/2002,72.1875,72.875,70.955467,71.241409,51.126015,57039872
"SBIN",12/4/2002,70.703125,70.703125,68.596092,68.955467,49.485519,63060288
"SBIN",12/5/2002,68.975784,70.276566,68.96875,69.34922,49.768089,47861760
"SBIN",12/6/2002,69.53125,71.233597,69.314064,70.762497,50.782314,48366144
"SBIN",12/9/2002,72.65625,74.203125,70.71875,71.520309,51.326153,96934272
"SBIN",12/10/2002,70.640625,70.90625,68.9375,70.500778,50.594513,58733760
"SBIN",12/11/2002,71.257034,73.65625,71.140625,73.128128,52.480034,100537024
"SBIN",12/12/2002,73.680466,75.65625,73.460938,75.441406,54.140106,85993216
"SBIN",12/13/2002,75.390625,75.484375,72.734375,73.000778,52.388618,76834688
"SBIN",12/16/2002,73.671875,73.671875,71.296875,71.485153,51.300945,52601728
"SBIN",12/17/2002,72.484375,72.657814,71.109375,71.443748,51.271217,41560768
"SBIN",12/18/2002,71.171875,72.324219,70.9375,71.438278,51.267303,48287360
"SBIN",12/19/2002,71.793747,71.875778,71.039841,71.464066,51.285805,43798720
"SBIN",12/20/2002,71.882813,72.967972,71.758591,72.116409,51.753944,53898944
"SBIN",12/23/2002,72.190628,72.646873,71.265625,71.889847,51.591362,34117568
"SBIN",12/24/2002,71.875,73.40625,71.484375,73.264061,52.577557,48553984
"SBIN",12/25/2002,73.264061,73.264061,73.264061,73.264061,52.577557,0
"SBIN",12/26/2002,73.623436,74.8125,73.4375,74.194534,53.245296,46062272
"SBIN",12/27/2002,74.305466,75.109375,74.25,74.497658,53.462837,38477376
"SBIN",12/30/2002,73.984375,74.276566,73.132813,74.09375,53.17297,33077440
"SBIN",12/31/2002,74,74.96875,73.875,74.582809,53.523945,38066752
"SBIN",1/1/2003,74.6875,75.389061,74.610939,74.985153,53.812683,32066112
"SBIN",1/2/2003,75.53125,75.600784,73.592972,73.788284,52.953743,42260032
"SBIN",1/3/2003,74.84375,75.375,74.21875,75.004684,53.826714,60483072
"SBIN",1/6/2003,75.515625,75.760941,74.484375,75.035934,53.849136,51750400
"SBIN",1/7/2003,75.678123,76.120316,74.009377,74.282028,53.308105,57016320
"SBIN",1/8/2003,74.71875,75.296875,74.385155,74.822655,53.696072,41112960
"SBIN",1/9/2003,75,75.21875,74.625,74.974998,53.805405,31291392
"SBIN",1/10/2003,75.15625,75.15625,68.767967,69.504684,49.879662,123995904
"SBIN",1/13/2003,69.046875,69.046875,66.664063,67.135941,48.179745,77507200
"SBIN",1/14/2003,66.953125,69.875,66.908592,69.496094,49.873505,76166208
"SBIN",1/15/2003,70.4375,72.334373,70.020309,72.060936,51.714149,93352256
"SBIN",1/16/2003,71.53125,72.671875,70.938278,72.029686,51.691715,41649024
"SBIN",1/17/2003,71.53125,72.965622,71.34375,72.190628,51.807217,56276544
"SBIN",1/20/2003,72.026566,72.026566,70.578125,70.767967,50.786247,25981632
"SBIN",1/21/2003,70.921875,71.046875,69.726563,69.891403,50.157192,29442688
"SBIN",1/22/2003,70.3125,71.078125,69.71875,70.279686,50.435833,32516288
"SBIN",1/23/2003,69.84375,70.125,68.90625,69.185158,49.650352,31185280
"SBIN",1/24/2003,70.548439,70.548439,68.221092,68.504684,49.162006,62248576
"SBIN",1/27/2003,67.729691,67.890625,66.59375,67.114845,48.164612,39281216
"SBIN",1/28/2003,67.185936,67.964066,66.640625,67.310936,48.30534,45866368
"SBIN",1/29/2003,67.8125,67.8125,65.3125,65.671097,47.12851,50043776
"SBIN",1/30/2003,66.015625,67.328125,65.333595,66.551559,47.760368,60421760
"SBIN",1/31/2003,65.814842,67.65625,65.8125,67.190628,48.219006,31424896
"SBIN",2/3/2003,65.941406,69.140625,65.941406,68.910156,49.452991,36261888
"SBIN",2/4/2003,69.366409,69.5,68.064842,68.867188,49.422153,32406528
"SBIN",2/5/2003,68.435936,69.140625,67.46875,68.802345,49.375633,33350848
"SBIN",2/6/2003,68.734375,71.010941,68.457031,70.592186,50.660103,36238144
"SBIN",2/7/2003,70.3125,70.75,69.765625,70.117966,50.319778,31858560
"SBIN",2/10/2003,69.6875,69.995316,67.003128,67.271095,48.276741,43655168
"SBIN",2/11/2003,67.78125,68.203125,66.049217,66.302345,47.58152,54007296
"SBIN",2/12/2003,66.40625,66.641403,64.860153,65.221092,46.80558,56339200
"SBIN",2/13/2003,65.221092,65.221092,65.221092,65.221092,46.80558,0
"SBIN",2/14/2003,65.3125,66.28125,64.376564,64.858597,46.545414,54123776
"SBIN",2/17/2003,66.583595,67.070313,65.957031,66.56797,47.772156,51686720
"SBIN",2/18/2003,67.03125,67.147659,65.8125,66.304688,47.583199,43271296
"SBIN",2/19/2003,66.796875,67.71875,65.78125,66.214066,47.518173,48530816
"SBIN",2/20/2003,65.9375,66.631248,65.157814,66.429688,47.672913,38198592
"SBIN",2/21/2003,66.3125,66.809372,65.720314,66.014061,47.374619,35078080
"SBIN",2/24/2003,66.425781,66.734375,65.643753,65.858597,47.263062,28459904
"SBIN",2/25/2003,65.236717,65.278122,64.296875,64.439064,46.244343,35228864
"SBIN",2/26/2003,64.765625,64.984375,63.625,63.835155,45.810944,36492416
"SBIN",2/27/2003,63.803123,65.0625,63.599216,64.146095,46.0341,44340608
"SBIN",2/28/2003,68.203125,68.203125,64.219528,66.959373,48.053036,66299904
"SBIN",3/3/2003,67.283592,67.5,65.710938,65.982033,47.351635,44389248
"SBIN",3/4/2003,65.460159,65.5625,64.640625,64.889847,46.567848,30929984
"SBIN",3/5/2003,64.220314,65.528122,63.940624,65.296875,46.859947,40163584
"SBIN",3/6/2003,65.296875,65.296875,63.829685,64.028122,45.949429,37748800
"SBIN",3/7/2003,63.359375,63.484375,62.378906,62.84531,45.100601,38211200
"SBIN",3/10/2003,56.015625,63.635937,56.015625,63.094532,45.279453,46785024
"SBIN",3/11/2003,62.78125,64.760941,62.578125,64.481247,46.274624,45810944
"SBIN",3/12/2003,64.243752,64.811722,62.671875,62.892185,45.134239,45766912
"SBIN",3/13/2003,63.14922,64.1875,62.706249,63.520313,45.585011,43299264
"SBIN",3/14/2003,63.520313,63.520313,63.520313,63.520313,45.585011,0
"SBIN",3/17/2003,63.46875,63.65625,61.817188,63.051563,45.248611,45345088
"SBIN",3/18/2003,63.051563,63.051563,63.051563,63.051563,45.248611,0
"SBIN",3/19/2003,63.296875,65.734375,63.25,65.440628,46.963108,61463040
"SBIN",3/20/2003,65.078125,68.75,65.078125,68.139061,48.899624,71270784
"SBIN",3/21/2003,68.234375,69.53125,67.614845,68.943748,49.477108,55244672
